Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
ABZ0QQ65,2022-11-05T17:00:00.000Z,,22.08,41.98,,35.45,44.28,,106,,40.1,55.74,35,,43.61,44.58,,49.74,56.08,44,,15.61,15,16,,21.43,48.62,,,44.664514,20.928384
AQVRLJYL,2022-11-05T17:00:00.000Z,,,,,,,,,,90.61,45.69,,,,,,147.31,46.47,,,9.8,9,10,,11.03,83.35,,,44.664514,20.928384
A9YQLGCC,2022-11-05T17:00:00.000Z,,31.53,50.19,,52.41,53.42,,129,,31.57,30.66,52,,69.79,53.95,,42.87,30.96,70,,10.66,10,11,,14.59,69.73,,,42.5366089,20.2955676
A0VTV4M9,2022-11-05T17:00:00.000Z,,,,,,,,,,56.64,58.84,,,,,,71.37,59.44,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-05T17:00:00.000Z,,13.44,21.91,,20.27,23,,78,,36.52,42.1,20,,25.68,23.13,,49.95,42.47,26,,4.44,4,4,,21.34,49.52,,,44.010408,20.91121
RMQF0HMT,2022-11-05T17:00:00.000Z,,,,,25.05,,,76,,29.43,,25,,28.44,,,36.11,,28,,9.83,9,10,6.68,,,,,44.82112,20.459113
RV7PD1M1,2022-11-05T17:00:00.000Z,,,,,16.64,,,59,,26.9,,17,,17.85,,,29.8,,18,,,,,,,,,,44.664084,20.926729
RH91V0ZQ,2022-11-05T17:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.79,5,6,,,,,,44.652336,20.931675
RNVM05M6,2022-11-05T17:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.91,12,13,5.88,,,,,44.796959,20.475288
RQMLY1RN,2022-11-05T17:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.24,9,9,,,,,,44.011573,20.925031
RQCHFQWB,2022-11-05T17:00:00.000Z,,,,,24.39,,,73,,25.11,,24,,24.75,,,26.74,,25,,15.04,14,15,,,,,,44.798746,20.450184
A5H2PCSZ,2022-11-05T16:00:00.000Z,,21.74,38.61,,34.21,40.99,,99,,40.59,53.42,34,,39.03,41.19,,49.29,53.78,39,,2.24,2,2,,25.37,44.53,,,44.797027,20.528377
AY1R2WBZ,2022-11-05T16:00:00.000Z,,29.57,52.14,,46.67,54.82,,137,,66.87,91,47,,58.57,55.23,,82.76,91.76,59,,5.07,5,5,,19.43,47.47,,,43.0671684,22.4085712
A0VTV4M9,2022-11-05T16:00:00.000Z,,,,,,,,,,56.64,58.84,,,,,,71.37,59.44,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-05T16:00:00.000Z,,15.12,24,,23.83,25.31,,89,,37.81,43.94,24,,28.81,25.48,,51.88,44.33,29,,5.44,5,5,,21.13,50.88,,,44.010408,20.91121
AHVMMMWN,2022-11-05T16:00:00.000Z,,31.73,53.16,,52.75,55.94,,134,,95.15,104.01,53,,68.61,56.44,,122.1,105.04,69,,9.4,9,9,,13.79,58.46,,,43.0671684,22.4085712
A2027ZB9,2022-11-05T16:00:00.000Z,,35.67,47.85,,66.73,51.43,,153,,63,59.31,67,,89.16,52.22,,80.89,59.96,89,,22.2,21,22,,12.15,81.13,,,44.797027,20.528377
A9YQLGCC,2022-11-05T16:00:00.000Z,,29.51,46.22,,48.08,49.02,,116,,30.33,29.43,48,,64.56,49.5,,41.15,29.72,65,,7.55,7,8,,14.96,65.65,,,42.5366089,20.2955676
AC8QFXSV,2022-11-05T16:00:00.000Z,,10,15.02,,18.99,15.72,,57,,5.32,5.07,19,,24.74,15.88,,7.31,5.14,25,,22.23,21,22,,11.31,71.25,,,43.27359823,20.00230503
AQVRLJYL,2022-11-05T16:00:00.000Z,,,,,,,,,,90.61,45.69,,,,,,147.31,46.47,,,9.99,9,10,,11.22,82.96,,,44.664514,20.928384
ABZ0QQ65,2022-11-05T16:00:00.000Z,,22.5,43.73,,36.49,46.05,,107,,40.41,56.4,36,,45.06,46.39,,50.18,56.75,45,,15.92,15,16,,21.75,48.18,,,44.664514,20.928384
RNVM05M6,2022-11-05T16:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.95,12,13,7.72,,,,,44.796959,20.475288
RH91V0ZQ,2022-11-05T16:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.95,6,6,,,,,,44.652336,20.931675
RQMLY1RN,2022-11-05T16:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.67,8,9,,,,,,44.011573,20.925031
RMQF0HMT,2022-11-05T16:00:00.000Z,,,,,24.71,,,73,,30.35,,25,,28.78,,,37.66,,29,,12.41,12,12,3.83,,,,,44.82112,20.459113
RV7PD1M1,2022-11-05T16:00:00.000Z,,,,,12.93,,,57,,27.54,,13,,13.84,,,30.73,,14,,,,,,,,,,44.664084,20.926729
RQCHFQWB,2022-11-05T16:00:00.000Z,,,,,23.96,,,68,,25.88,,24,,24.2,,,27.68,,24,,15.72,15,16,,,,,,44.798746,20.450184
A5H2PCSZ,2022-11-05T15:00:00.000Z,,21.98,39.72,,34.46,42.01,,100,,41.24,54.85,34,,39.68,42.25,,50.32,55.23,40,,1.88,2,2,,25.37,44.69,,,44.797027,20.528377
A0VTV4M9,2022-11-05T15:00:00.000Z,,,,,,,,,,56.64,58.84,,,,,,71.37,59.44,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-05T15:00:00.000Z,,,,,,,,,,87.92,43.7,,,,,,143.58,44.43,,,10.13,10,10,,11.74,81.83,,,44.664514,20.928384
ABZ0QQ65,2022-11-05T15:00:00.000Z,,24.13,47.56,,37.32,50.05,,107,,40.69,57.04,37,,46.27,50.33,,50.56,57.39,46,,16.52,16,17,,22.23,47.36,,,44.664514,20.928384
AY1R2WBZ,2022-11-05T15:00:00.000Z,,29.84,53.47,,48.23,56.28,,142,,66.94,91.11,48,,60.66,56.76,,83.01,91.87,61,,5.96,6,6,,19.49,47.73,,,43.0671684,22.4085712
A3QK8XR1,2022-11-05T15:00:00.000Z,,19.41,31.14,,30.94,32.85,,107,,38.92,45.65,31,,40.39,33.12,,53.69,46.06,40,,6.82,6,7,,21.09,52,,,44.010408,20.91121
AC8QFXSV,2022-11-05T15:00:00.000Z,,8.1,12.55,,15.87,13.08,,45,,4.95,4.83,16,,22.55,13.26,,6.88,4.9,23,,22.37,21,22,,11.93,69.96,,,43.27359823,20.00230503
AHVMMMWN,2022-11-05T15:00:00.000Z,,28.22,48.23,,45.18,50.83,,124,,95.79,105.51,45,,57.25,51.21,,122.87,106.55,57,,6.37,6,6,,16.45,53.07,,,43.0671684,22.4085712
A9YQLGCC,2022-11-05T15:00:00.000Z,,28.56,45.48,,45.99,48.18,,99,,29.42,28.47,46,,60.81,48.6,,39.99,28.75,61,,6.05,6,6,,15.72,63.31,,,42.5366089,20.2955676
A2027ZB9,2022-11-05T15:00:00.000Z,,29.2,36.55,,54.2,39.2,,142,,62.63,59.97,54,,68.38,39.69,,80.32,60.61,68,,20.47,19,20,,12.23,80.11,,,44.797027,20.528377
RNVM05M6,2022-11-05T15:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.41,12,12,10.28,,,,,44.796959,20.475288
RV7PD1M1,2022-11-05T15:00:00.000Z,,,,,12.55,,,61,,28.29,,13,,13.3,,,31.91,,13,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-05T15:00:00.000Z,,,,,21.68,,,69,,31,,22,,23.12,,,39.07,,23,,11.01,10,11,7.45,,,,,44.82112,20.459113
RQCHFQWB,2022-11-05T15:00:00.000Z,,,,,19.38,,,61,,26.4,,19,,19.62,,,28.52,,20,,16.45,16,16,,,,,,44.798746,20.450184
RQMLY1RN,2022-11-05T15:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.06,8,8,,,,,,44.011573,20.925031
RH91V0ZQ,2022-11-05T15:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.39,5,5,,,,,,44.652336,20.931675
A5H2PCSZ,2022-11-05T14:00:00.000Z,,22.5,41.38,,35.86,43.83,,101,,41.82,56.04,36,,41.98,44.08,,51.25,56.43,42,,1.61,2,2,,25.4,44.8,,,44.797027,20.528377
AQVRLJYL,2022-11-05T14:00:00.000Z,,,,,,,,,,87.92,43.7,,,,,,143.58,44.43,,,10.59,10,11,,12.6,80.29,,,44.664514,20.928384
A9YQLGCC,2022-11-05T14:00:00.000Z,,17.28,28.05,,26.21,29.46,,76,,29.77,29.23,26,,33.81,29.65,,40.58,29.52,34,,8.72,8,9,,16.96,65.4,,,42.5366089,20.2955676
A2027ZB9,2022-11-05T14:00:00.000Z,,23.78,29.18,,44.4,31.03,,136,,64.3,62.66,44,,53.2,31.37,,82.5,63.33,53,,18.45,17,18,,12.55,79.03,,,44.797027,20.528377
A0VTV4M9,2022-11-05T14:00:00.000Z,,23.58,30.38,,39.03,32.04,,,,56.64,58.84,39,,46.89,32.35,,71.37,59.44,47,,8.02,8,8,,14.59,72.17,,,44.010408,20.91121
ABZ0QQ65,2022-11-05T14:00:00.000Z,,24.52,48.04,,37.92,50.52,,108,,40.95,57.54,38,,46.7,50.78,,50.9,57.89,47,,16.16,15,16,,23.09,45.76,,,44.664514,20.928384
AHVMMMWN,2022-11-05T14:00:00.000Z,,28.04,52.31,,44.19,54.9,,123,,97.15,107.65,44,,54.44,55.26,,124.52,108.71,54,,-0.69,,,,19.1,46.21,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-05T14:00:00.000Z,,31.71,58.33,,50.61,61.36,,148,,66.88,90.88,51,,64.39,61.9,,83.1,91.64,64,,5.57,5,6,,19.51,47.68,,,43.0671684,22.4085712
AC8QFXSV,2022-11-05T14:00:00.000Z,,2.98,6.61,,7.38,6.91,,24,,4.72,4.7,7,,9.77,7,,6.51,4.77,10,,17.07,16,17,,12.89,66.61,,,43.27359823,20.00230503
A3QK8XR1,2022-11-05T14:00:00.000Z,,23.76,39.55,,37.98,41.89,,116,,39.52,46.6,38,,51.06,42.22,,54.72,47.03,51,,7.7,7,8,,21.24,53.13,,,44.010408,20.91121
RNVM05M6,2022-11-05T14:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.46,11,11,11.34,,,,,44.796959,20.475288
RH91V0ZQ,2022-11-05T14:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.19,6,6,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-05T14:00:00.000Z,,,,,12.93,,,56,,26.73,,13,,13.06,,,29.16,,13,,17.01,16,17,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-05T14:00:00.000Z,,,,,16.1,,,70,,29.5,,16,,17.24,,,33.54,,17,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-05T14:00:00.000Z,,,,,18.71,,,68,,31.55,,19,,20.63,,,40.38,,21,,11.87,11,12,6.21,,,,,44.82112,20.459113
RQMLY1RN,2022-11-05T14:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.41,9,9,,,,,,44.011573,20.925031
A5H2PCSZ,2022-11-05T13:00:00.000Z,,23.06,42.58,,36.97,45.12,,101,,42.17,56.74,37,,44.18,45.44,,51.83,57.14,44,,1.37,1,1,,25.43,44.82,,,44.797027,20.528377
A9YQLGCC,2022-11-05T13:00:00.000Z,,16.7,26.75,,26.97,28.24,,72,,30.63,30.36,27,,35.44,28.56,,41.82,30.66,35,,5.06,5,5,,18.47,60.73,,,42.5366089,20.2955676
AC8QFXSV,2022-11-05T13:00:00.000Z,,1.43,4.24,,4.17,4.42,,17,,4.58,4.63,4,,5.94,4.51,,6.34,4.7,6,,15.32,14,15,,13.69,64.18,,,43.27359823,20.00230503
A3QK8XR1,2022-11-05T13:00:00.000Z,,26.64,47.98,,43.16,50.92,,120,,39.62,46.76,43,,59.15,51.34,,55.06,47.2,59,,9.29,9,9,,21.47,54.19,,,44.010408,20.91121
AQVRLJYL,2022-11-05T13:00:00.000Z,,,,,,,,,,90.86,45.84,,,,,,148.29,46.61,,,12.35,12,12,,13.83,79.01,,,44.664514,20.928384
A2027ZB9,2022-11-05T13:00:00.000Z,,27.91,34.35,,52.34,36.84,,150,,64.63,63.8,52,,68.02,37.4,,83.14,64.48,68,,18.08,17,18,,13.03,78.3,,,44.797027,20.528377
AY1R2WBZ,2022-11-05T13:00:00.000Z,,32.83,63.4,,52.64,66.7,,152,,66.82,90.61,53,,68.14,67.25,,83.24,91.39,68,,6.2,6,6,,19.52,47.84,,,43.0671684,22.4085712
A0VTV4M9,2022-11-05T13:00:00.000Z,,,,,,,,,,58.6,62.77,,,,,,74.29,63.4,,,,,,,,,,,44.010408,20.91121
AHVMMMWN,2022-11-05T13:00:00.000Z,,22.47,37.79,,37.89,39.83,,123,,96.74,107.03,38,,46.17,40.19,,123.98,108.09,46,,-6.55,,,,19.81,43.11,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-05T13:00:00.000Z,,24.87,49.75,,39.18,52.3,,108,,41.15,57.95,39,,48.31,52.63,,51.21,58.31,48,,14.26,13,14,,24.21,43.65,,,44.664514,20.928384
RH91V0ZQ,2022-11-05T13:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.52,6,7,,,,,,44.652336,20.931675
RMQF0HMT,2022-11-05T13:00:00.000Z,,,,,17.87,,,70,,32.29,,18,,20.22,,,41.95,,20,,11.9,11,12,6.37,,,,,44.82112,20.459113
RQMLY1RN,2022-11-05T13:00:00.000Z,,,,,,,,,,,,,,,,,,,,,10.28,10,10,,,,,,44.011573,20.925031
RV7PD1M1,2022-11-05T13:00:00.000Z,,,,,20.1,,,81,,30.37,,20,,22.41,,,35.07,,22,,,,,,,,,,44.664084,20.926729
RQCHFQWB,2022-11-05T13:00:00.000Z,,,,,12.8,,,59,,27.37,,13,,13,,,30.17,,13,,14.91,14,15,,,,,,44.798746,20.450184
RNVM05M6,2022-11-05T13:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.76,11,12,10.36,,,,,44.796959,20.475288
A5H2PCSZ,2022-11-05T12:00:00.000Z,,22.99,42.77,,36.57,45.24,,99,,42.39,57.25,37,,42.67,45.5,,52.17,57.66,43,,1.23,1,1,,25.43,44.79,,,44.797027,20.528377
AC8QFXSV,2022-11-05T12:00:00.000Z,,1.74,4.55,,4.32,4.75,,16,,4.53,4.6,4,,6.25,4.81,,6.28,4.66,6,,8.53,8,9,,14.46,61.45,,,43.27359823,20.00230503
AHVMMMWN,2022-11-05T12:00:00.000Z,,31.69,63.37,,52.94,66.91,,139,,96.16,106.51,53,,65.58,67.44,,123.19,107.55,66,,-6.06,,,,18.87,46.48,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-05T12:00:00.000Z,,25.26,49.93,,38.59,52.3,,108,,41.31,58.33,39,,47.44,52.62,,51.44,58.69,47,,11.29,11,11,,25.31,41.5,,,44.664514,20.928384
AY1R2WBZ,2022-11-05T12:00:00.000Z,,33.49,65.24,,53.68,68.73,,152,,67.06,90.69,54,,68.64,69.24,,83.84,91.5,69,,5.98,6,6,,19.52,47.66,,,43.0671684,22.4085712
A9YQLGCC,2022-11-05T12:00:00.000Z,,14.69,23.7,,23.13,25.03,,62,,30.81,30.6,23,,29.8,25.23,,42.02,30.9,30,,-2.7,,,,20.13,58.09,,,42.5366089,20.2955676
A2027ZB9,2022-11-05T12:00:00.000Z,,26.83,33.7,,47.46,35.98,,152,,64.41,64.39,47,,59.95,36.35,,82.84,65.07,60,,15,14,15,,13.8,77.33,,,44.797027,20.528377
A0VTV4M9,2022-11-05T12:00:00.000Z,,,,,,,,,,58.6,62.77,,,,,,74.29,63.4,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-05T12:00:00.000Z,,29.33,55.83,,47.4,59.15,,123,,39.66,46.78,47,,64.68,59.69,,55.2,47.22,65,,13.4,13,13,,21.66,55.9,,,44.010408,20.91121
AQVRLJYL,2022-11-05T12:00:00.000Z,,,,,,,,,,90.86,45.84,,,,,,148.29,46.61,,,9.84,9,10,,16.65,73.45,,,44.664514,20.928384
RNVM05M6,2022-11-05T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.64,9,10,11.39,,,,,44.796959,20.475288
RV7PD1M1,2022-11-05T12:00:00.000Z,,,,,30.66,,,93,,30.78,,31,,37.59,,,36.08,,38,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-05T12:00:00.000Z,,,,,20.55,,,78,,32.9,,21,,24.57,,,43.27,,25,,10.44,10,10,6.14,,,,,44.82112,20.459113
RH91V0ZQ,2022-11-05T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.51,7,8,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-05T12:00:00.000Z,,,,,13.77,,,65,,27.86,,14,,14.32,,,31.04,,14,,13.81,13,14,,,,,,44.798746,20.450184
RQMLY1RN,2022-11-05T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.72,9,10,,,,,,44.011573,20.925031
